SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
43,3-4,36.13,35.81,36.51,0.69,41.2,41.06,41.38,0.32,37.98,37.81,38.1,0.28,43.4,43.32,43.47,0.14,2.87,2.59,3.1,0.51,0,0,0,0
44,1-2,26.63,26.41,26.77,0.35,39.9,39.57,40.03,0.46,28.09,27.93,28.29,0.35,42.08,41.57,42.23,0.65,2.62,2.46,2.76,0.29,4.47,4.19,5.16,0.96
44,3-4,30.95,30.76,31.18,0.41,45.52,45.4,45.74,0.34,32.37,32.17,32.44,0.26,47.99,47.86,48.11,0.25,2.85,2.7,2.99,0.29,0,0,0,0
45,1-2,21.28,21.03,21.39,0.35,42.92,42.86,43.02,0.16,22.38,22.29,22.48,0.19,45.3,45.2,45.42,0.21,2.62,2.52,2.74,0.22,4.42,4.21,4.67,0.46
45,3-4,24.76,24.35,25.28,0.92,49.03,48.94,49.13,0.19,25.87,25.62,25.99,0.36,51.66,51.55,51.82,0.27,2.86,2.73,3.14,0.41,0,0,0,0
46,1-2,15.81,15.5,16.01,0.51,45.27,45.22,45.39,0.17,16.65,16.45,16.78,0.33,47.87,47.64,48,0.35,2.72,2.52,2.9,0.37,4.43,4.23,4.63,0.4
46,3-4,18.5,17.93,18.88,0.94,51.9,51.77,52.01,0.23,19.05,18.8,19.18,0.37,54.65,54.54,54.78,0.24,2.81,2.63,3,0.37,0,0,0,0
47,1-2,9.98,9.68,10.1,0.41,46.97,46.91,47,0.09,10.27,10.11,10.42,0.31,49.6,49.47,49.85,0.38,2.64,2.5,2.86,0.35,4.44,4.3,4.66,0.36
47,3-4,11.55,10.88,12.18,1.29,53.85,53.77,53.93,0.15,12.03,11.85,12.18,0.33,56.43,56.33,56.53,0.2,2.64,2.52,2.79,0.26,0,0,0,0
48,1-2,3.92,3.71,4.01,0.29,47.87,47.69,48,0.31,4.2,4.11,4.26,0.14,50.48,50.33,50.61,0.28,2.62,2.52,2.7,0.17,4.41,4.17,4.59,0.42
48,3-4,4.77,4.57,5.07,0.5,54.85,54.73,54.95,0.22,4.88,4.71,5.15,0.44,57.71,57.6,57.85,0.25,2.86,2.73,3.12,0.39,0,0,0,0
